Name,Potential_impacts,Cumulative_Impact_probablility,Velocity(km/s),Magnitude,Estimated_Diameter(km),Cum_Palermo_scale,Max_Palermo_scale,Start_year,End_year,Period
(2006 GU2),47,1.4999999999999999e-05,7.31,27.8,0.009000000000000001,-6.43,-7.22,2022,2116,94
(2012 UU158),5,2.8999999999999998e-06,12.27,26.9,0.013999999999999999,-6.43,-6.48,2042,2078,36
(2019 KL),6,1e-06,14.2,26.4,0.017,-6.43,-6.64,2047,2085,38
(2019 UE4),18,1.1e-05,11.58,27.7,0.01,-6.43,-6.92,2064,2119,55
(2018 LR3),3,3e-06,4.17,26.3,0.019,-6.43,-6.59,2077,2100,23
(2010 VP139),380,1.4000000000000001e-05,2.63,28.6,0.006999999999999999,-6.44,-7.55,2021,2116,95
(2017 WE28),11,2e-06,8.79,26.7,0.015,-6.44,-6.67,2039,2078,39
(2021 EW1),2,2.6000000000000002e-05,8.82,28.2,0.008,-6.44,-6.44,2103,2118,15
(2019 QS),1,2.2e-07,21.59,24.8,0.037000000000000005,-6.45,-6.45,2096,2096,0
(2008 GM2),46,3.8e-05,4.62,28.4,0.006999999999999999,-6.46,-7.0,2090,2117,27
(2008 SH148),159,9.2e-07,9.21,26.1,0.02,-6.46,-7.39,2022,2116,94
(2019 GK21),2,1.3e-06,9.23,25.6,0.026000000000000002,-6.46,-6.53,2099,2103,4
(2017 FW90),5,3.5e-05,4.17,28.1,0.008,-6.46,-6.52,2101,2118,17
(2005 BS1),3,2.8e-07,12.35,27.3,0.012,-6.47,-6.53,2024,2041,17
(2009 EW),4,1.7e-06,12.82,26.4,0.018000000000000002,-6.47,-6.64,2075,2081,6
(2018 FE3),2,1.1e-05,6.05,27.2,0.012,-6.47,-6.48,2090,2118,28
(2014 XM7),1,6.2e-08,11.49,22.9,0.09,-6.48,-6.48,2115,2115,0
(2014 SR223),1,1.5e-06,15.23,26.7,0.015,-6.49,-6.49,2063,2063,0
(2017 AT20),231,5.3e-06,7.65,27.1,0.013000000000000001,-6.49,-6.95,2039,2116,77
(2011 YC63),4,4.5e-06,18.83,29.0,0.005,-6.5,-6.51,2034,2048,14
(2012 CU),5,1.2e-06,10.94,26.0,0.021,-6.5,-6.9,2040,2100,60
(2013 PG10),8,8.599999999999999e-06,6.87,27.7,0.01,-6.5,-6.6,2056,2113,57
(2010 FD),2,1.5e-06,9.79,26.0,0.021,-6.5,-6.53,2085,2104,19
(2017 UK3),3,6.1e-06,13.37,27.2,0.012,-6.5,-6.69,2115,2115,0
(2010 FN),10,3.9e-06,6.79,26.6,0.016,-6.51,-6.97,2079,2116,37
(2010 NN),45,2.1e-05,7.73,28.4,0.006999999999999999,-6.51,-6.95,2049,2116,67
(2015 EG7),12,5.7000000000000005e-06,12.79,27.4,0.011000000000000001,-6.51,-6.57,2065,2115,50
(2020 MP1),2,2.2e-06,7.83,26.1,0.021,-6.51,-6.61,2105,2105,0
(2020 WZ3),2,3.3e-06,6.31,26.2,0.02,-6.51,-6.56,2115,2118,3
(2008 UA202),72,8.1e-05,2.3,29.4,0.004,-6.52,-7.33,2050,2108,58
(2009 WW7),23,4.5e-05,8.19,28.9,0.006,-6.52,-6.96,2050,2116,66
(2012 EP10),39,7.7e-05,2.79,29.2,0.005,-6.52,-6.75,2056,2117,61
(2015 QS8),1,4.2000000000000004e-06,8.04,26.5,0.017,-6.52,-6.52,2116,2116,0
(2012 KP24),1,3.4e-07,12.74,26.4,0.017,-6.52,-6.52,2032,2032,0
(2008 TS10),21,4.7e-05,3.18,28.8,0.006,-6.53,-7.37,2068,2116,48
(2010 NH),2,1e-06,10.29,25.7,0.025,-6.53,-6.58,2089,2092,3
(2017 QU34),10,1.2e-05,14.49,28.3,0.006999999999999999,-6.53,-6.76,2083,2111,28
(2009 WQ25),1,9.300000000000001e-08,16.94,23.9,0.055,-6.54,-6.54,2094,2094,0
(2018 LM),3,1.1e-06,4.88,25.2,0.03,-6.54,-6.82,2112,2116,4
(2018 JL1),4,5.400000000000001e-06,6.17,26.7,0.015,-6.54,-6.72,2112,2118,6
(2017 RN16),30,5.4000000000000005e-05,8.13,29.1,0.005,-6.55,-6.69,2076,2117,41
(2007 SN6),2,1.1e-07,18.32,25.0,0.033,-6.56,-6.69,2022,2059,37
(2010 TN55),15,1.8000000000000001e-06,25.32,27.0,0.013000000000000001,-6.57,-7.28,2086,2117,31
(2005 GQ33),24,2.8e-08,20.92,23.7,0.063,-6.58,-7.36,2023,2110,87
(2009 YR),8,1.1e-05,3.12,28.0,0.009000000000000001,-6.58,-6.9,2060,2087,27
(2020 PU1),3,1.5e-06,7.77,26.5,0.017,-6.58,-6.94,2047,2070,23
(2017 TB),54,5.1e-05,5.79,29.1,0.005,-6.59,-7.21,2054,2117,63
(2020 UQ3),1,1.6e-07,8.41,23.8,0.059000000000000004,-6.59,-6.59,2112,2112,0
(2020 OB),3,4.5999999999999995e-08,25.62,23.7,0.063,-6.59,-6.66,2114,2119,5
(2010 XQ),69,2.1e-07,9.79,25.2,0.031,-6.6,-7.29,2021,2116,95
(2017 UA45),5,2e-06,5.42,25.9,0.022000000000000002,-6.6,-6.72,2099,2112,13
(2019 BO),19,1.2e-05,7.27,28.1,0.008,-6.6,-7.2,2055,2095,40
(1997 UA11),1,2.9e-07,11.96,25.1,0.032,-6.61,-6.61,2073,2073,0
(2003 UQ25),1,9.400000000000001e-08,18.01,24.2,0.049,-6.61,-6.61,2093,2093,0
(2015 CL13),4,6.5e-07,13.7,25.7,0.025,-6.61,-6.99,2090,2106,16
(2021 AH),5,3e-06,21.45,28.5,0.006999999999999999,-6.61,-6.63,2043,2101,58
(2011 AZ36),176,4.1e-07,7.61,25.1,0.032,-6.63,-8.01,2026,2116,90
(2020 UX),35,0.0002,8.44,31.1,0.002,-6.63,-6.84,2046,2114,68
(2019 YM),2,8.7e-07,17.76,26.0,0.022000000000000002,-6.63,-6.63,2041,2117,76
(2021 FE2),1,3.7000000000000006e-06,10.39,27.0,0.013999999999999999,-6.63,-6.63,2100,2100,0
(2008 OO1),1,2.3e-07,12.96,24.6,0.040999999999999995,-6.64,-6.64,2107,2107,0
(2020 PU3),14,4e-06,9.54,26.8,0.015,-6.64,-6.89,2096,2120,24
(2008 XK),86,4.1e-07,12.06,27.2,0.012,-6.65,-6.82,2021,2101,80
(2015 WP2),22,7.6e-05,12.62,30.1,0.003,-6.65,-7.03,2080,2116,36
(2018 QE),13,1.1e-05,4.18,27.8,0.009000000000000001,-6.65,-7.2,2036,2117,81
(2021 FT1),1,1.1e-07,19.4,24.4,0.044000000000000004,-6.65,-6.65,2097,2097,0
(2008 BC15),2,9.2e-07,20.66,26.6,0.016,-6.66,-6.89,2072,2094,22
(2010 JH80),1,6.3e-08,26.9,24.5,0.042,-6.66,-6.66,2082,2082,0
(2013 TV132),6,2.6e-06,9.16,26.5,0.017,-6.66,-7.03,2099,2115,16
(2019 NF7),2,9.6e-06,9.27,28.1,0.008,-6.66,-6.67,2072,2080,8
(2018 VP6),2,3.1e-06,12.06,27.2,0.013000000000000001,-6.67,-6.9,2088,2088,0
(2019 PG),1,1.1e-06,7.19,25.6,0.026000000000000002,-6.67,-6.67,2115,2115,0
(2014 MB6),2,8.1e-07,13.07,26.2,0.019,-6.68,-6.68,2052,2075,23
(2006 WM3),1,5.7999999999999997e-08,10.41,23.2,0.078,-6.68,-6.68,2113,2113,0
(1993 UA),2,7.1e-07,9.4,25.4,0.027999999999999997,-6.69,-6.85,2111,2111,0
(1997 TC25),1,2.6e-07,9.89,24.7,0.039,-6.69,-6.69,2096,2096,0
(2006 BF56),19,2.3e-05,26.15,29.6,0.004,-6.69,-7.2,2092,2117,25
(2019 PO1),16,1.4999999999999999e-05,1.96,27.9,0.009000000000000001,-6.69,-7.19,2084,2117,33
(2017 RP16),10,3.5000000000000004e-06,10.33,27.2,0.012,-6.69,-7.07,2065,2112,47
(2020 PC),1,1.1e-05,1.46,28.0,0.009000000000000001,-6.69,-6.69,2074,2074,0
(2005 UL6),2,1.1e-07,12.04,24.5,0.042,-6.7,-6.9,2068,2068,0
(2012 BP123),306,1.3e-06,4.85,27.1,0.013000000000000001,-6.7,-7.31,2021,2117,96
(2015 HQ182),187,1.5e-07,6.62,25.0,0.034,-6.7,-7.57,2024,2114,90
(2020 CK2),44,5e-05,5.18,29.3,0.005,-6.7,-7.52,2057,2118,61
(2020 OX5),4,1.3e-06,8.88,26.9,0.013999999999999999,-6.7,-6.9,2033,2063,30
(2021 EP3),12,1.4e-06,19.51,26.7,0.016,-6.71,-7.16,2098,2119,21
(2016 CH30),5,1.1e-05,5.46,27.8,0.009000000000000001,-6.71,-6.75,2100,2118,18
(2020 YA1),4,4.1e-06,3.32,26.7,0.015,-6.71,-6.88,2103,2113,10
(2007 CS5),4,3.1e-07,4.99,24.5,0.042,-6.72,-7.13,2096,2110,14
(2020 FA1),2,2.8999999999999998e-06,2.23,26.3,0.018000000000000002,-6.72,-6.73,2118,2119,1
(2019 CM5),6,8e-06,5.4,27.9,0.009000000000000001,-6.73,-7.35,2046,2099,53
(2020 SY4),4,2.8999999999999998e-06,15.95,27.4,0.011000000000000001,-6.73,-6.82,2061,2113,52
(2018 LT5),5,1.3e-07,19.04,25.0,0.034,-6.74,-6.86,2025,2083,58
(2010 UR7),3,2.8e-06,13.33,27.4,0.011000000000000001,-6.74,-7.06,2079,2086,7
(2017 RK2),1,8.599999999999999e-06,7.3,28.0,0.009000000000000001,-6.74,-6.74,2083,2083,0
(2013 PS13),1,2.4e-06,17.26,27.3,0.012,-6.74,-6.74,2096,2096,0
(2015 GB1),4,9.2e-07,7.35,26.6,0.016,-6.74,-7.16,2031,2090,59
(2007 UT3),8,5.1e-07,9.05,25.7,0.024,-6.75,-7.12,2054,2116,62
(2014 FE),11,1.6e-06,19.91,27.6,0.01,-6.75,-7.31,2034,2081,47
(2018 RQ4),10,3.3e-06,6.77,26.9,0.013999999999999999,-6.75,-7.12,2088,2111,23
(2020 GZ1),1,8.199999999999999e-08,28.24,26.0,0.021,-6.75,-6.75,2040,2040,0
(2018 AU18),12,2.4e-06,9.6,27.4,0.011000000000000001,-6.76,-6.9,2046,2114,68
(2019 NX5),15,3.4e-05,1.79,29.1,0.005,-6.76,-6.86,2067,2115,48
(2016 FZ13),6,2e-05,4.3,28.3,0.006999999999999999,-6.76,-7.11,2108,2117,9
(2016 EV84),4,1.9e-06,7.41,26.8,0.015,-6.76,-6.86,2056,2096,40
(2018 WJ),4,1.2e-06,19.01,27.6,0.01,-6.77,-7.12,2045,2072,27
(2017 HJ),20,3.3e-06,14.83,27.5,0.011000000000000001,-6.77,-7.56,2070,2117,47
(2004 DA53),3,9e-06,9.35,27.9,0.009000000000000001,-6.78,-6.86,2111,2112,1
(2019 VH),17,5.400000000000001e-06,8.22,27.7,0.01,-6.78,-7.29,2065,2109,44
(2020 BH3),6,1.1e-06,7.12,26.1,0.021,-6.78,-7.23,2059,2104,45
(2020 TD7),8,2.5e-06,9.05,26.8,0.015,-6.78,-7.28,2092,2120,28
(2011 YC40),7,5.7000000000000005e-06,10.92,29.7,0.004,-6.79,-6.84,2028,2050,22
(2013 NE24),9,3.4e-06,10.73,27.4,0.011000000000000001,-6.79,-7.15,2059,2112,53
(2019 VD),9,4e-06,11.19,27.4,0.011000000000000001,-6.79,-7.34,2087,2105,18
(2014 HY198),240,4.4e-05,6.53,29.6,0.004,-6.8,-7.36,2041,2116,75
(2014 TL),8,6.3e-06,10.72,27.8,0.009000000000000001,-6.8,-6.98,2072,2114,42
(2016 PR66),23,1.2e-08,10.32,23.3,0.075,-6.8,-7.24,2026,2113,87
(2020 YM1),18,7.4e-05,3.01,29.6,0.004,-6.8,-7.15,2091,2119,28
(2002 XV90),7,4.8e-07,7.63,25.2,0.031,-6.81,-7.05,2101,2114,13
(2007 EZ25),2,2.1e-07,20.74,25.6,0.026000000000000002,-6.81,-7.06,2087,2087,0
(2020 TK3),8,3.9e-06,11.22,27.4,0.011000000000000001,-6.81,-7.36,2063,2114,51
(2020 VK),25,2.5e-06,20.46,27.8,0.009000000000000001,-6.81,-7.42,2071,2097,26
(2010 RM80),21,1.1e-05,5.36,27.9,0.009000000000000001,-6.82,-7.32,2085,2116,31
(2010 WW8),81,1.4e-07,5.22,26.4,0.018000000000000002,-6.82,-7.13,2021,2112,91
(2018 BC),22,5.4000000000000005e-05,2.04,29.4,0.004,-6.82,-7.69,2083,2109,26
(2019 FU1),5,1.6e-06,19.8,27.3,0.012,-6.82,-6.96,2090,2109,19
(2020 CF2),12,7.9e-06,3.18,27.6,0.01,-6.82,-7.2,2072,2116,44
(2020 HW7),5,1.3e-06,8.75,27.2,0.012,-6.82,-6.89,2044,2090,46
(2020 PJ6),6,6.2e-07,2.26,25.6,0.026000000000000002,-6.82,-7.0,2076,2101,25
(2009 ST171),1,1.2e-06,9.83,26.8,0.015,-6.83,-6.83,2066,2066,0
(2006 QK33),1,5.7e-08,12.46,23.6,0.065,-6.83,-6.83,2116,2116,0
(2015 XP),1,4.1e-07,8.23,25.8,0.024,-6.83,-6.83,2067,2067,0
(2017 DB120),7,1.2e-08,14.59,23.0,0.086,-6.85,-7.08,2053,2103,50
(2011 CF22),168,5.1e-05,18.8,30.9,0.002,-6.85,-7.59,2030,2117,87
(2015 BY3),10,1e-06,16.59,27.5,0.011000000000000001,-6.85,-7.32,2033,2085,52
(2016 VA18),500,2.5e-06,8.67,28.5,0.006999999999999999,-6.85,-7.27,2022,2116,94
(2015 FF36),7,9.5e-07,8.85,26.5,0.017,-6.86,-7.13,2059,2077,18
(2019 GP21),98,3.5e-05,10.8,29.7,0.004,-6.86,-7.58,2039,2119,80
(2020 SN6),80,1.6e-05,5.52,28.8,0.006,-6.86,-7.83,2048,2118,70
(2017 UM52),146,2.7000000000000002e-05,2.45,29.5,0.004,-6.86,-7.53,2039,2117,78
(2020 QC),2,5.6e-07,18.75,27.5,0.011000000000000001,-6.86,-6.98,2038,2041,3
(2018 BP6),1,7.299999999999999e-08,14.22,24.6,0.042,-6.87,-6.87,2074,2074,0
(2014 LJ),40,1.4999999999999999e-05,3.61,28.5,0.006999999999999999,-6.87,-7.79,2055,2116,61
(2006 UC64),4,8.7e-08,20.09,25.0,0.034,-6.87,-7.18,2069,2085,16
(2006 UQ216),7,4.2999999999999995e-06,3.73,27.3,0.012,-6.88,-7.17,2061,2116,55
(2016 JN38),101,6.5000000000000004e-06,19.52,29.1,0.005,-6.88,-7.77,2039,2116,77
(2016 JB29),1,1.7e-07,8.56,24.7,0.039,-6.88,-6.88,2090,2090,0
(2016 SU2),12,4.4e-06,12.73,27.7,0.01,-6.88,-7.26,2102,2115,13
(2017 BG92),6,1.3000000000000001e-05,5.33,28.7,0.006,-6.88,-6.97,2072,2118,46
(2021 DG1),1,5.3e-09,22.0,22.1,0.13,-6.88,-6.88,2120,2120,0
(2017 HZ4),2,8.2e-07,5.91,25.9,0.023,-6.88,-7.16,2091,2106,15
(2020 DG4),15,1e-05,6.89,28.2,0.008,-6.88,-7.37,2093,2120,27
(2020 GY2),1,3.3e-08,15.69,23.6,0.064,-6.88,-6.88,2093,2093,0
(2020 YA2),12,1.3000000000000001e-05,4.93,28.2,0.008,-6.89,-7.35,2111,2120,9
(2013 UR1),4,8.5e-07,21.69,27.8,0.009000000000000001,-6.9,-6.96,2050,2060,10
(2007 EN88),3,1e-06,12.16,26.4,0.017,-6.9,-7.06,2094,2104,10
(2014 CE),4,2e-06,13.02,27.0,0.013000000000000001,-6.91,-7.08,2111,2117,6
(2019 DG1),1,2.1000000000000002e-06,7.29,26.7,0.016,-6.91,-6.91,2118,2118,0
(2015 VP64),2,3.5000000000000004e-06,20.96,28.3,0.006999999999999999,-6.91,-6.92,2087,2087,0
(2019 QE7),8,1.7e-06,10.17,26.7,0.015,-6.91,-7.29,2097,2119,22
(2013 QM48),19,3.8e-06,7.47,27.4,0.011000000000000001,-6.92,-7.62,2071,2116,45
(2008 WO2),9,4.9e-05,6.11,29.8,0.004,-6.93,-7.3,2065,2111,46
(2018 FY2),4,1.8e-07,19.37,25.7,0.024,-6.93,-7.21,2046,2102,56
(2014 QN266),1,9e-07,2.85,26.2,0.019,-6.93,-6.93,2078,2078,0
(2017 QT1),3,3.1e-07,20.02,26.8,0.015,-6.94,-7.01,2050,2069,19
(2020 TD8),7,1.5e-06,7.4,26.9,0.013999999999999999,-6.94,-7.21,2045,2107,62
(2020 VA5),2,1.6e-06,11.14,27.2,0.012,-6.94,-6.95,2078,2082,4
(2012 CR),1,1.2e-10,14.18,21.0,0.21,-6.95,-6.95,2025,2025,0
(2020 VH5),4,2.5e-05,7.42,29.2,0.005,-6.95,-7.15,2101,2101,0
(2018 PU23),4,8e-06,1.77,28.1,0.008,-6.96,-7.36,2072,2097,25
(2015 VK1),2,7.7e-07,14.73,26.5,0.017,-6.96,-7.12,2103,2109,6
(2021 FP2),32,6.8e-05,8.76,30.1,0.003,-6.96,-7.11,2074,2120,46
(2012 BW13),8,2e-06,11.68,27.2,0.012,-6.97,-7.35,2086,2111,25
(2013 BR15),3,1.6e-07,14.08,25.1,0.032,-6.97,-7.11,2100,2110,10
(2014 HD198),78,6.7e-06,17.34,29.6,0.004,-7.0,-7.45,2025,2115,90
(2013 RR43),2,6e-08,18.99,25.4,0.027999999999999997,-7.0,-7.08,2050,2057,7
(2018 FQ3),14,9.6e-06,10.84,28.6,0.006,-7.0,-7.53,2070,2114,44
(2020 QN4),24,1.1e-05,7.53,28.6,0.006,-7.0,-7.8,2065,2117,52
(2021 CF1),2,2.9e-07,14.16,26.0,0.021,-7.0,-7.01,2073,2077,4
(2019 NK1),49,6.3e-05,8.05,30.1,0.003,-7.01,-7.46,2089,2118,29
(2021 CA6),16,1e-05,6.38,28.5,0.006999999999999999,-7.01,-7.5,2070,2121,51
(2000 SZ162),6,1.9e-06,4.16,27.1,0.013000000000000001,-7.02,-7.37,2070,2109,39
(2020 YG2),2,1.3e-07,9.36,24.7,0.039,-7.02,-7.12,2097,2105,8
(2021 EZ3),2,2.8e-07,8.28,25.2,0.031,-7.03,-7.07,2108,2116,8
(2017 KQ27),1,4.7e-07,10.96,25.8,0.023,-7.03,-7.03,2117,2117,0
(2018 XF2),1,8.3e-07,9.91,26.2,0.019,-7.03,-7.03,2119,2119,0
(2006 HE2),3,1.1e-06,5.03,26.5,0.017,-7.04,-7.29,2081,2103,22
(2006 YE),4,2.4e-06,6.01,27.3,0.012,-7.04,-7.32,2082,2095,13
(2016 TT),4,4e-07,11.56,26.0,0.021,-7.04,-7.41,2084,2095,11
(2019 WU),10,1.6e-06,10.08,27.0,0.013000000000000001,-7.04,-7.58,2058,2112,54
(2005 VP),20,1e-07,12.83,25.5,0.027000000000000003,-7.05,-7.51,2053,2103,50
(2018 VC7),25,3.2e-06,4.23,27.4,0.011000000000000001,-7.05,-7.82,2068,2117,49
(2017 RJ2),7,1.9e-06,15.86,27.5,0.011000000000000001,-7.05,-7.36,2108,2111,3
(2017 VV12),10,4.4e-06,6.29,28.0,0.009000000000000001,-7.05,-7.3,2062,2116,54
(2020 SN5),6,1.4e-06,13.28,28.2,0.008,-7.06,-7.08,2043,2109,66
(2017 SS12),5,1.4e-06,10.09,27.1,0.013000000000000001,-7.06,-7.41,2074,2089,15
(2008 HC38),1,4.4000000000000004e-08,14.05,26.1,0.02,-7.07,-7.07,2029,2029,0
(2016 WT),34,3.1e-05,10.71,29.8,0.004,-7.08,-7.89,2072,2119,47
(2014 HR197),188,7.299999999999999e-08,16.94,26.9,0.013999999999999999,-7.08,-7.99,2021,2112,91
(2013 XU21),1,2.3e-07,11.04,26.2,0.02,-7.08,-7.08,2055,2055,0
(2003 YS70),2,1.7e-05,3.16,28.8,0.006,-7.09,-7.24,2107,2116,9
(2016 GU2),1,1.2e-08,39.17,24.1,0.052000000000000005,-7.09,-7.09,2113,2113,0
(2020 DN3),7,9.8e-07,13.9,26.8,0.015,-7.09,-7.62,2107,2119,12
(2005 UA1),1,9.1e-08,14.68,26.4,0.018000000000000002,-7.1,-7.1,2036,2036,0
(2008 YD3),30,1.1e-07,7.96,26.0,0.021,-7.1,-7.43,2021,2110,89
(2020 VN6),4,3.8e-06,9.21,27.8,0.009000000000000001,-7.1,-7.27,2098,2118,20
(2018 PA25),15,2.6e-08,15.29,24.9,0.036000000000000004,-7.1,-7.27,2029,2118,89
(2016 WU),3,2.6e-06,7.05,27.3,0.012,-7.1,-7.1,2089,2109,20
(2018 RF5),2,2.3e-06,8.33,27.4,0.011000000000000001,-7.1,-7.1,2103,2115,12
(2020 WT4),11,3e-06,3.85,27.8,0.01,-7.1,-7.48,2062,2116,54
(2015 YM1),5,6.900000000000001e-06,6.81,28.4,0.006999999999999999,-7.12,-7.22,2096,2115,19
(2018 EV3),4,9.4e-07,12.58,27.1,0.013000000000000001,-7.13,-7.26,2081,2113,32
(2014 HE199),1,2.4e-08,14.5,25.0,0.033,-7.14,-7.14,2039,2039,0
(2016 AU193),1,9.400000000000001e-08,21.77,25.3,0.03,-7.14,-7.14,2109,2109,0
(2019 SG1),1,8.6e-07,16.72,27.7,0.01,-7.14,-7.14,2064,2064,0
(2008 UA92),1,1.3e-06,8.38,27.3,0.012,-7.15,-7.15,2078,2078,0
(2008 US),24,3.1e-06,18.54,31.4,0.002,-7.15,-7.37,2021,2069,48
(2018 WH1),13,9.9e-06,4.01,28.5,0.006999999999999999,-7.16,-7.74,2076,2111,35
(2006 UJ185),8,2.1000000000000002e-06,15.45,27.9,0.009000000000000001,-7.16,-7.52,2052,2116,64
(2016 TQ54),7,1.7e-06,9.0,27.3,0.012,-7.16,-7.67,2096,2113,17
(2010 CK19),7,4.4e-06,5.01,27.9,0.009000000000000001,-7.17,-7.73,2089,2116,27
(2011 FA23),6,3.6000000000000003e-06,14.34,28.9,0.006,-7.17,-7.34,2025,2102,77
(2019 KT),3,6.8e-07,11.7,26.6,0.017,-7.17,-7.46,2110,2110,0
(2010 VN1),5,1.9e-06,10.98,28.3,0.006999999999999999,-7.19,-7.41,2050,2066,16
(2020 XF4),10,2.8999999999999998e-06,6.69,27.6,0.01,-7.19,-7.52,2093,2119,26
(2012 SU9),6,1.4e-06,10.85,27.2,0.012,-7.2,-7.37,2084,2111,27
(2018 TS6),19,5.2e-06,7.41,28.2,0.008,-7.2,-7.4,2064,2117,53
(2019 FB1),2,3.2e-06,7.97,27.7,0.01,-7.2,-7.37,2113,2117,4
(2011 SE58),3,5.8e-07,15.69,27.6,0.01,-7.21,-7.35,2042,2055,13
(2019 VE4),6,3e-06,8.82,27.9,0.009000000000000001,-7.21,-7.46,2072,2119,47
(2016 EG28),4,1.7e-06,14.66,27.8,0.009000000000000001,-7.21,-7.45,2079,2108,29
(2018 GG4),2,1.4e-07,16.68,26.2,0.019,-7.21,-7.43,2058,2070,12
(2019 QU3),2,1.1e-05,6.47,28.7,0.006,-7.21,-7.21,2113,2117,4
(2014 KC45),20,1.2e-05,8.91,29.4,0.004,-7.22,-7.68,2066,2110,44
(2017 FC1),1,2.3e-07,8.28,26.1,0.02,-7.22,-7.22,2064,2064,0
(2018 FK5),2,3.7000000000000006e-06,11.28,28.3,0.006999999999999999,-7.22,-7.5,2087,2110,23
(2017 RX17),43,3.3e-07,7.54,26.9,0.013999999999999999,-7.22,-7.87,2029,2116,87
(2006 DO62),13,1.8000000000000001e-06,11.3,28.3,0.008,-7.23,-7.64,2036,2095,59
(2004 XG29),2,2.5e-07,5.1,25.4,0.028999999999999998,-7.24,-7.37,2112,2114,2
(2014 HJ197),32,2.4e-05,4.48,30.3,0.003,-7.24,-7.75,2045,2117,72
(2017 KC36),3,6.5e-07,11.93,27.4,0.011000000000000001,-7.24,-7.29,2037,2061,24
(2010 XP),73,1.4e-07,8.25,26.8,0.015,-7.25,-7.7,2021,2116,95
(2002 EM7),2,6.099999999999999e-08,10.28,24.4,0.045,-7.25,-7.27,2117,2117,0
(2010 XC),324,2.8999999999999998e-06,3.93,29.1,0.005,-7.26,-7.94,2021,2111,90
(2019 BX1),3,3.1e-06,3.96,28.1,0.008,-7.26,-7.53,2058,2115,57
(2016 TC57),1,1.2e-06,8.74,27.1,0.013000000000000001,-7.26,-7.26,2112,2112,0
(2018 WA1),24,4.1e-05,3.05,30.0,0.003,-7.26,-7.9,2082,2117,35
(2016 BQ15),2,4.0999999999999997e-08,21.04,25.1,0.032,-7.27,-7.45,2072,2098,26
(2018 WA3),2,6.4e-07,16.37,27.9,0.009000000000000001,-7.27,-7.28,2055,2060,5
(2017 BK30),2,9e-07,9.95,27.2,0.012,-7.28,-7.52,2085,2085,0
(2015 HO182),6,2.6e-07,10.92,26.4,0.018000000000000002,-7.28,-7.6,2046,2113,67
(2018 RR1),12,3.4e-05,4.41,29.9,0.004,-7.28,-7.32,2086,2119,33
(2008 BN16),1,1.1e-07,18.62,25.9,0.022000000000000002,-7.29,-7.29,2083,2083,0
(2021 CK3),28,1.4000000000000001e-05,13.64,29.9,0.004,-7.29,-8.01,2056,2118,62
(2020 PX5),13,1.8e-05,10.06,29.6,0.004,-7.29,-7.6,2086,2118,32
(2016 VZ17),179,4.1e-07,9.72,27.4,0.011000000000000001,-7.3,-8.05,2021,2116,95
(2014 WE6),5,4.7e-05,4.42,30.3,0.003,-7.31,-7.6,2104,2109,5
(2016 LE10),3,4e-07,12.63,27.1,0.013000000000000001,-7.31,-7.53,2035,2072,37
(2016 WN7),1,2.6e-06,6.16,27.9,0.009000000000000001,-7.31,-7.31,2095,2095,0
(2018 DB),3,1.2e-06,16.13,27.6,0.01,-7.31,-7.37,2068,2119,51
(2012 TU231),1,3.8e-07,9.97,26.2,0.02,-7.32,-7.32,2111,2111,0
(2017 TT3),2,1.3e-07,8.67,25.6,0.025,-7.32,-7.52,2059,2108,49
(2020 UC4),2,2.8e-07,8.48,26.0,0.021,-7.32,-7.45,2084,2118,34
(2008 KT),9,5.3e-06,2.99,28.2,0.008,-7.33,-7.51,2091,2116,25
(2020 TZ3),1,4.5e-08,9.38,24.8,0.037000000000000005,-7.33,-7.33,2072,2072,0
(2011 UD21),1,7.400000000000001e-06,1.32,28.5,0.006999999999999999,-7.34,-7.34,2116,2116,0
(2019 AK12),3,1.1e-06,15.17,27.5,0.011000000000000001,-7.34,-7.68,2113,2119,6
(2020 VK6),1,1.4e-07,9.57,25.6,0.026000000000000002,-7.34,-7.34,2090,2090,0
(2017 KB3),2,9.8e-08,11.43,25.1,0.033,-7.35,-7.35,2117,2119,2
(2011 AZ22),8,1.1e-06,12.52,28.6,0.006,-7.36,-7.44,2034,2114,80
(2016 TH),26,9.3e-06,7.41,29.4,0.004,-7.36,-7.56,2072,2115,43
(2018 RJ3),1,1.3e-06,8.13,27.8,0.009000000000000001,-7.36,-7.36,2070,2070,0
(2018 WE),8,1.4e-06,12.75,28.3,0.006999999999999999,-7.37,-7.63,2057,2097,40
(2011 EM40),12,1.4e-06,10.7,28.0,0.009000000000000001,-7.37,-7.97,2054,2113,59
(2019 UB8),13,4.2999999999999995e-06,10.34,28.9,0.005,-7.37,-7.83,2053,2118,65
(2017 DP109),2,4.3e-07,12.33,26.9,0.013999999999999999,-7.37,-7.55,2086,2086,0
(2013 JM22),1,3.2e-09,29.67,23.3,0.075,-7.37,-7.37,2095,2095,0
(2009 WJ6),2,3e-07,18.16,27.6,0.01,-7.38,-7.4,2049,2056,7
(2015 VL64),8,3e-06,8.68,28.3,0.006999999999999999,-7.38,-7.96,2085,2109,24
(1993 HP1),4,4.5e-07,9.84,26.9,0.013999999999999999,-7.39,-7.6,2065,2112,47
(2006 WK130),1,2e-09,20.74,22.4,0.11,-7.39,-7.39,2103,2103,0
(2007 EE126),3,3.2e-08,31.6,25.6,0.026000000000000002,-7.39,-7.61,2065,2092,27
