Name,Potential_impacts,Cumulative_Impact_probablility,Velocity(km/s),Magnitude,Estimated_Diameter(km),Cum_Palermo_scale,Max_Palermo_scale,Start_year,End_year,Period
(2016 SA2),13,0.00013000000000000002,5.19,28.1,0.008,-5.83,-6.19,2110,2119,9
(2007 XZ9),2,1.1e-06,13.01,24.8,0.037000000000000005,-5.84,-5.88,2068,2089,21
(2010 HP20),631,4.9e-05,7.36,28.2,0.008,-5.84,-6.71,2021,2115,94
(2011 DV10),1,1.2e-06,16.27,24.8,0.038,-5.84,-5.84,2093,2093,0
(2019 DX),16,1.7e-05,12.39,26.9,0.013999999999999999,-5.84,-6.14,2051,2103,52
(2020 WN5),142,6.4e-05,11.59,28.0,0.009000000000000001,-5.84,-6.55,2055,2120,65
(2019 JR2),14,2.2e-05,13.36,27.1,0.013000000000000001,-5.85,-5.97,2079,2118,39
(2017 HG4),23,3.9e-05,3.71,27.6,0.01,-5.85,-6.55,2048,2115,67
(2007 UD6),53,8.8e-05,5.99,28.3,0.006999999999999999,-5.86,-6.42,2058,2096,38
(2005 SO1),9,3.9e-06,12.02,25.4,0.027999999999999997,-5.86,-6.37,2110,2110,0
(2016 CY135),7,1.9e-06,6.75,24.5,0.043,-5.86,-6.31,2103,2119,16
(2018 BL11),24,8.8e-05,11.29,28.2,0.008,-5.86,-6.1,2102,2119,17
(2019 GD4),28,5e-05,7.52,27.7,0.01,-5.86,-6.2,2065,2118,53
(2018 RB2),31,3.5e-05,9.05,27.3,0.012,-5.87,-6.25,2092,2119,27
(2008 EV84),3,7.1e-07,12.93,25.4,0.028999999999999998,-5.88,-5.89,2041,2106,65
(2011 TO),5,6e-06,8.55,26.3,0.019,-5.88,-5.89,2063,2076,13
(2015 MN11),2,5.1e-07,21.06,24.5,0.042,-5.88,-5.91,2081,2081,0
(2020 UX4),9,6.2e-06,7.67,25.8,0.024,-5.88,-6.01,2074,2113,39
(2017 AA21),194,2.4e-06,7.82,26.0,0.021,-5.88,-6.73,2024,2117,93
(2006 WV29),12,5.7000000000000005e-06,16.74,26.5,0.017,-5.89,-6.27,2036,2108,72
(2009 HC),10,2.8999999999999998e-06,3.72,24.8,0.038,-5.89,-6.24,2095,2114,19
(2019 NO2),4,9.6e-05,8.72,28.3,0.008,-5.89,-5.89,2102,2117,15
(2020 LV),2,5e-06,4.49,25.3,0.03,-5.89,-5.91,2109,2114,5
(2005 TH50),25,5.5e-05,4.95,28.0,0.009000000000000001,-5.9,-6.23,2031,2101,70
(2006 WZ184),25,9.3e-06,7.26,26.1,0.021,-5.9,-6.69,2084,2114,30
(2013 RO30),10,9.1e-05,9.26,28.4,0.006999999999999999,-5.9,-6.01,2044,2095,51
(2016 GK2),9,4.8e-05,9.12,27.8,0.009000000000000001,-5.9,-6.14,2092,2116,24
(2017 UC52),43,4e-07,13.63,24.3,0.048,-5.9,-6.47,2046,2116,70
(2020 VO1),28,6.8e-05,7.68,28.0,0.009000000000000001,-5.9,-6.22,2058,2120,62
(2009 TU),7,1.9e-05,15.15,27.4,0.011000000000000001,-5.91,-6.45,2086,2111,25
(2021 FU),15,1.2e-05,9.83,27.4,0.011000000000000001,-5.91,-5.95,2036,2117,81
(2015 TG24),30,1.6e-05,9.84,26.7,0.016,-5.92,-6.82,2102,2116,14
(2011 CF66),822,1.4000000000000001e-05,13.01,27.8,0.009000000000000001,-5.93,-7.13,2022,2117,95
(2011 BP40),15,1.3e-06,3.48,25.4,0.027999999999999997,-5.93,-6.27,2031,2105,74
(2014 JV79),168,2.9e-07,11.14,25.2,0.031,-5.93,-6.47,2021,2116,95
(2014 OM207),3,0.00022999999999999998,8.2,29.1,0.005,-5.93,-5.94,2089,2101,12
(2018 EB4),2,2.6e-06,13.09,25.4,0.027999999999999997,-5.93,-5.94,2099,2103,4
(2004 VZ14),4,1.9e-06,15.26,25.3,0.03,-5.94,-6.38,2076,2114,38
(2021 FO1),16,0.00041,7.25,29.5,0.004,-5.94,-5.96,2079,2120,41
(2021 EA),3,2.5e-05,9.46,28.0,0.009000000000000001,-5.94,-5.97,2055,2059,4
(2007 PR25),3,1.8999999999999998e-08,29.29,21.9,0.14,-5.95,-6.07,2094,2113,19
(2006 BM8),11,2.6e-06,14.79,25.4,0.027999999999999997,-5.95,-6.13,2106,2115,9
(2007 EO88),8,8.599999999999999e-06,10.95,26.4,0.018000000000000002,-5.96,-6.47,2073,2111,38
(2013 GA55),23,4.5e-05,9.34,27.7,0.01,-5.96,-6.12,2070,2114,44
