des,fullname,neo,pha,spkid,moid,e,a,q,i,om,w,ma,tp,per,n,ad
2009 XR1,(2009 XR1),True,False,3483205,,0.407,1.63,0.965,0.473,258,208,349,2455199.694,759,0.474,2.29
2013 VJ13,(2013 VJ13),True,False,3653688,,0.582,1.86,0.777,10.2,37.6,292,308,2459335.220,928,0.388,2.95
2020 BY11,(2020 BY11),True,False,3989268,,0.566,1.94,0.841,1.79,307,123,16.4,2458834.723,984,0.366,3.03
2020 RE4,(2020 RE4),True,False,54053940,,0.569,1.4,0.605,1.9,339,272,35,2459047.406,608,0.592,2.2
2020 YE5,(2020 YE5),True,False,54103878,,0.474,1.67,0.879,1.14,126,45.1,327,2459273.142,788,0.457,2.46
2018 BP3,(2018 BP3),True,False,3797865,,0.258,1.15,0.853,1.42,307,103,172,2458984.774,450,0.799,1.45
2020 PW2,(2020 PW2),True,False,54051048,,0.365,1.48,0.942,13.1,322,317,87.5,2459039.888,660,0.545,2.03
2020 KD1,(2020 KD1),True,False,54017097,,0.357,1.49,0.957,8.73,62.1,217,95.7,2459024.057,664,0.543,2.02
2015 KW157,(2015 KW157),True,False,3720891,,0.678,3.61,1.16,3.71,52.8,162,3.46,2457140.467,2500,0.144,6.05
2020 VB3,(2020 VB3),True,False,54087744,,0.178,1.04,0.856,4.39,232,267,324,2459239.030,388,0.927,1.23
2018 XX3,(2018 XX3),True,False,3836883,,0.125,1.03,0.903,4.26,260,102,36,2459162.173,383,0.94,1.16
2019 UN8,(2019 UN8),True,False,3883110,,0.724,2.58,0.712,0.354,18.4,300,11.3,2458738.129,1510,0.238,4.45
2021 AC2,(2021 AC2),True,False,54104721,,0.241,0.876,0.665,0.859,101,233,85.8,2459129.140,299,1.2,1.09
2019 YA3,(2019 YA3),True,False,3949009,,0.269,0.939,0.687,1.54,258,62.3,132,2459078.129,333,1.08,1.19
2017 JB2,(2017 JB2),True,False,3774578,,0.0512,1.02,0.968,5.23,223,280,261,2459304.270,377,0.956,1.07
2019 JX1,(2019 JX1),True,False,3841719,,0.4,1.01,0.605,17,222,246,286,2459276.034,370,0.974,1.41
2019 JH7,(2019 JH7),True,False,3841907,,0.292,0.99,0.701,0.849,57.3,288,143,2459057.429,360,1,1.28
2019 BV2,(2019 BV2),True,False,3838021,,0.5,1.31,0.657,0.655,135,82.1,55,2459116.354,550,0.654,1.97
2005 TK50,(2005 TK50),True,False,3293924,,0.68,2.2,0.705,6.07,16.4,74.5,346,2453697.841,1200,0.301,3.7
2016 YC13,(2016 YC13),True,False,3766344,,0.472,1.47,0.774,4.78,276,103,29.5,2457696.335,649,0.555,2.16
2016 FA14,(2016 FA14),True,False,3748493,,0.586,1.8,0.745,4.26,190,286,1.08,2459197.841,883,0.408,2.86
2020 XX3,(2020 XX3),True,False,54099638,,0.224,1.2,0.931,0.689,266,226,330,2459240.409,480,0.75,1.47
2012 CS46,(2012 CS46),True,False,3599392,,0.278,1.27,0.914,0.491,218,349,35.2,2459149.610,521,0.691,1.62
2018 XW3,(2018 XW3),True,False,3836884,,0.455,1.44,0.787,2.55,256,111,87.1,2459047.249,634,0.568,2.1
2019 DF,(2019 DF),True,False,3838828,,0.654,2.4,0.833,3.18,157,54.2,350,2458577.468,1360,0.264,3.98
2017 TD6,(2017 TD6),True,False,3786445,,0.332,1.19,0.798,1.92,26.8,77.7,108,2459057.285,477,0.755,1.59
