des,fullname,neo,pha,spkid,moid,e,a,q,i,om,w,ma,tp,per,n,ad
2020 KD3,(2020 KD3),True,False,54017182,,0.319,1.35,0.92,3.78,65.6,231,101,2459039.383,574,0.627,1.78
2006 DM63,(2006 DM63),True,False,3324656,,0.497,0.696,0.35,1.78,336,17.4,140,2453711.914,212,1.7,1.04
2011 DU9,(2011 DU9),True,False,3557959,,0.515,1.94,0.94,3.42,155,328,239,2459530.072,984,0.366,2.93
2017 LD,(2017 LD),True,False,3775176,,0.278,1.39,1.01,0.068,78.9,196,41.2,2459131.608,602,0.598,1.78
2010 CR5,(2010 CR5),True,False,3507937,,0.818,3.01,0.548,5.61,323,49.4,24.1,2455113.894,1900,0.189,5.47
2020 MJ,(2020 MJ),True,False,54017473,,0.593,1.64,0.665,3.18,262,272,30.3,2458961.143,765,0.471,2.61
2021 AM6,(2021 AM6),True,False,54105561,,0.228,0.829,0.64,3.06,107,206,114,2459113.262,276,1.31,1.02
2010 GM23,(2010 GM23),True,False,3515381,,0.442,1.32,0.734,4.35,205,81.1,321,2455354.832,552,0.652,1.9
2013 TP4,(2013 TP4),True,False,3648841,,0.76,1.88,0.451,6.32,189,73.4,19.6,2456520.099,944,0.381,3.32
2016 WG,(2016 WG),True,False,3763930,,0.742,1.83,0.472,0.22,294,232,212,2459572.235,904,0.398,3.19
2008 HJ,(2008 HJ),True,False,3409625,,0.407,1.63,0.968,0.925,47.5,204,8.51,2459182.501,762,0.473,2.3
2017 RZ17,(2017 RZ17),True,False,3781833,,0.515,1.95,0.946,11.1,29.3,66,306,2458163.101,996,0.362,2.96
2019 LW4,(2019 LW4),True,False,3842873,,0.197,1.08,0.868,12.1,77.6,263,68.2,2459122.794,410,0.878,1.29
2014 JU15,(2014 JU15),True,False,3670630,,0.466,0.726,0.387,9.1,38.6,20.3,32.8,2459179.920,226,1.59,1.06
2002 RB182,(2002 RB182),True,False,3136730,,0.652,2.56,0.89,0.228,166,254,348,2452584.227,1500,0.241,4.23
2007 KO4,(2007 KO4),True,False,3377888,,0.162,1.1,0.925,25.2,61.2,299,254,2454369.222,423,0.851,1.28
2010 UK,(2010 UK),True,False,3549640,,0.219,0.866,0.677,4.92,203,36.6,347,2459211.408,295,1.22,1.06
2007 KE4,(2007 KE4),True,False,3377868,,0.574,2.4,1.02,9.37,65.1,194,356,2454259.409,1360,0.266,3.77
2020 TY4,(2020 TY4),True,False,54062087,,0.486,1.95,1,8,354,348,34.3,2459105.693,994,0.362,2.9
2019 LU1,(2019 LU1),True,False,3842770,,0.876,1.53,0.19,7.35,75.6,317,336,2458685.263,689,0.522,2.86
2020 CQ1,(2020 CQ1),True,False,3989676,,0.322,1.44,0.975,2.8,134,343,190,2459498.291,629,0.572,1.9
2008 ST7,(2008 ST7),True,False,3427737,,0.513,1.94,0.942,2.45,348,322,212,2459605.434,984,0.366,2.93
2010 QG2,(2010 QG2),True,False,3545399,,0.518,1.67,0.808,4.7,343,64.2,337,2455489.158,792,0.455,2.54
2016 HF3,(2016 HF3),True,False,3752433,,0.5,2.06,1.03,6.19,58.8,185,195,2459694.668,1080,0.333,3.09
2008 EZ84,(2008 EZ84),True,False,3406027,,0.151,1.01,0.858,13.1,169,268,280,2459282.786,371,0.97,1.16
2011 BL45,(2011 BL45),True,False,3556125,,0.021,1.04,1.02,3.05,135,155,326,2459236.937,386,0.932,1.06
2008 TE,(2008 TE),True,False,3428699,,0.453,1.52,0.831,0.306,1.16,297,27.9,2454688.494,684,0.526,2.21
2018 NJ,(2018 NJ),True,False,3825525,,0.345,1.54,1.01,4.67,108,193,94,2459018.414,698,0.516,2.07
2011 EB74,(2011 EB74),True,False,3559908,,0.176,0.933,0.769,10.6,356,301,255,2455731.296,329,1.09,1.1
2016 RD34,(2016 RD34),True,False,3759358,,0.0347,1.05,1.01,1.96,350,11,344,2459217.760,391,0.921,1.08
2018 TY4,(2018 TY4),True,False,3831729,,0.61,2.41,0.94,2.71,12.5,329,218,2459741.345,1370,0.263,3.88
2017 AE21,(2017 AE21),True,False,3766658,,0.179,1.1,0.903,3.06,247,125,76,2457668.614,421,0.855,1.3
2018 JD,(2018 JD),True,False,3819682,,0.358,1.57,1.01,10.9,47.5,188,116,2458969.549,716,0.503,2.13
2010 MY112,(2010 MY112),True,False,3536587,,0.244,1.07,0.809,38.5,83,328,271,2455470.972,405,0.89,1.33
2012 BA77,(2012 BA77),True,False,3596675,,0.632,2.36,0.869,1.19,197,228,12.1,2455906.942,1330,0.272,3.86
2019 WG2,(2019 WG2),True,False,3893456,,0.305,1.28,0.889,23.4,241,124,296,2459293.986,528,0.682,1.67
2012 MF7,(2012 MF7),True,False,3605946,,0.383,1.47,0.91,1.97,91,127,290,2459327.102,654,0.551,2.04
2012 VE77,(2012 VE77),True,False,3617955,,0.555,1.64,0.73,8.1,235,254,337,2456296.376,767,0.469,2.55
2018 DQ,(2018 DQ),True,False,3799710,,0.685,1.71,0.541,0.396,152,264,21.6,2458123.198,820,0.439,2.89
2013 GM3,(2013 GM3),True,False,3634154,,0.287,0.836,0.596,0.0135,327,22.7,250,2459285.423,279,1.29,1.08
2007 WP3,(2007 WP3),True,False,3395958,,0.447,1.49,0.822,10.7,229,116,108,2459002.355,662,0.544,2.15
2006 HF6,(2006 HF6),True,False,3330161,,0.55,1.41,0.633,6.59,29.6,86.3,38.1,2453790.057,609,0.591,2.18
2015 XA378,(2015 XA378),True,False,3736778,,0.639,1.83,0.661,0.226,74.6,92,347,2459232.598,905,0.398,3
2020 XF,(2020 XF),True,False,54097866,,0.097,0.914,0.825,4.41,71.5,212,157,2459061.075,319,1.13,1
2017 SF20,(2017 SF20),True,False,3781980,,0.493,1.81,0.916,3.07,183,137,131,2458876.595,887,0.406,2.7
2014 CR13,(2014 CR13),True,False,3661506,,0.461,1.48,0.801,7.46,142,293,308,2459295.283,661,0.545,2.17
2018 GR4,(2018 GR4),True,False,3802593,,0.111,0.936,0.832,1,168,233,143,2459068.872,331,1.09,1.04
2011 UM169,(2011 UM169),True,False,3583811,,0.525,1.7,0.806,6.26,211,115,22.6,2455812.779,808,0.445,2.59
2008 FF5,(2008 FF5),True,False,3407483,,0.965,2.28,0.0794,2.62,15.3,19.9,12.1,2454514.228,1260,0.287,4.48
2011 SO189,(2011 SO189),True,False,3580326,,0.567,2,0.865,4.45,2.38,307,15.4,2455791.516,1030,0.349,3.13
2017 PY26,(2017 PY26),True,False,3780705,,0.616,1.62,0.623,17,146,269,334,2458037.162,756,0.476,2.63
2016 DK1,(2016 DK1),True,False,3744819,,0.331,1.36,0.912,0.768,336,126,35.7,2459142.916,581,0.62,1.81
2020 DJ1,(2020 DJ1),True,False,3991661,,0.491,1.5,0.763,5.84,307,283,329,2458955.704,670,0.537,2.24
2020 JK,(2020 JK),True,False,54016960,,0.662,1.97,0.665,1.1,242,76.1,339,2459031.619,1010,0.357,3.27
2020 UE,(2020 UE),True,False,54073345,,0.479,1.34,0.7,3.37,23.2,274,74,2459083.632,568,0.634,1.99
2014 WA201,(2014 WA201),True,False,3698471,,0.423,1.42,0.821,5.34,53.4,295,239,2459408.038,619,0.581,2.02
2012 ES10,(2012 ES10),True,False,3601340,,0.757,1.89,0.458,6.82,347,72.9,25,2455940.721,948,0.38,3.32
2007 HB15,(2007 HB15),True,False,3374667,,0.257,1.26,0.935,1.11,37.3,226,228,2459389.069,515,0.699,1.58
2019 QR3,(2019 QR3),True,False,3843630,,0.433,1.54,0.874,9.1,158,235,337,2458769.325,699,0.515,2.21
2010 DG77,(2010 DG77),True,False,3511311,,0.464,1.8,0.965,13.3,291,195,9.44,2455223.399,881,0.409,2.63
2017 VL2,(2017 VL2),True,False,3789141,,0.24,1.27,0.962,12.5,227,148,84.8,2459078.036,520,0.693,1.57
1995 CS,(1995 CS),True,False,3092135,,0.775,1.94,0.436,2.6,136,252,17.6,2449706.196,988,0.364,3.45
2008 PK9,(2008 PK9),True,False,3423763,,0.725,1.64,0.451,27.4,318,108,336,2454739.221,765,0.471,2.82
2018 NW,(2018 NW),True,False,3825565,,0.34,1.16,0.767,36.8,286,272,51.8,2458243.631,457,0.787,1.56
2005 XA8,(2005 XA8),True,False,3306580,,0.437,1.42,0.799,5.35,254,111,353,2459211.834,617,0.584,2.04
2014 YN,(2014 YN),True,False,3702671,,0.134,0.892,0.773,1.21,239,16,236,2459306.825,308,1.17,1.01
2011 OB26,(2011 OB26),True,False,3574772,,0.478,1.66,0.865,1.76,139,235,336,2455824.236,780,0.462,2.45
2011 CU46,(2011 CU46),True,False,3557482,,0.532,1.4,0.656,8.01,140,270,33.3,2455548.559,605,0.595,2.14
2012 EK5,(2012 EK5),True,False,3601278,,0.558,1.82,0.805,9.95,4.5,240,340,2456051.324,897,0.401,2.84
2017 YM1,(2017 YM1),True,False,3794978,,0.438,1.72,0.966,15.5,84,340,10.8,2458086.740,823,0.438,2.47
2019 TU,(2019 TU),True,False,3873321,,0.427,1.5,0.861,0.71,130,302,210,2459480.459,672,0.535,2.14
2011 XC2,(2011 XC2),True,False,3590911,,0.581,2,0.84,28.8,70.7,307,82,2458964.727,1030,0.348,3.16
2016 EO28,(2016 EO28),True,False,3745511,,0.306,1.29,0.894,2.43,159,306,131,2459005.952,534,0.674,1.68
2020 DF3,(2020 DF3),True,False,54000959,,0.635,1.45,0.53,36.6,153,258,198,2459488.095,638,0.564,2.37
2010 XN69,(2010 XN69),True,False,3553961,,0.5,1.91,0.956,2,99.2,21.6,348,2455577.472,965,0.373,2.87
2011 VG9,(2011 VG9),True,False,3587871,,0.774,2.28,0.515,1.26,236,65.7,21.1,2455815.822,1260,0.286,4.05
2014 MV67,(2014 MV67),True,True,3675173,,0.574,2.27,0.968,3.67,191,315,49.1,2456662.011,1250,0.288,3.58
2018 LF16,(2018 LF16),True,False,3825519,,0.401,1.91,1.14,15.5,166,189,313,2458410.292,964,0.374,2.68
2018 NL,(2018 NL),True,False,3825551,,0.449,1.83,1.01,8.44,278,15.3,355,2459213.516,901,0.399,2.65
2019 AU6,(2019 AU6),True,False,3837718,,0.282,0.984,0.706,0.349,302,278,276,2459283.351,356,1.01,1.26
2002 VU17,(2002 VU17),True,False,3141536,,0.616,2.47,0.949,1.5,55.7,309,11.1,2452554.589,1420,0.254,3.99
2010 KV7,(2010 KV7),True,False,3523338,,0.219,1.21,0.949,0.314,256,36.9,322,2455386.485,489,0.737,1.48
2017 RV2,(2017 RV2),True,False,3781417,,0.366,1.55,0.981,0.213,172,150,263,2459389.409,702,0.513,2.11
2000 WJ107,(2000 WJ107),True,False,3092278,,0.558,1.95,0.862,5.99,238,127,152,2458780.705,993,0.363,3.03
2005 NX55,(2005 NX55),True,False,3283897,,0.615,1.62,0.623,27.3,106,276,331,2453624.655,752,0.479,2.61
2014 LY21,(2014 LY21),True,False,3673680,,0.606,0.646,0.254,1.24,73.3,350,208,2456890.572,190,1.9,1.04
2002 MN,(2002 MN),True,False,3127411,,0.498,1.82,0.911,1.05,85.2,132,219,2459551.019,893,0.403,2.72
2019 SJ,(2019 SJ),True,False,3843878,,0.197,1.06,0.848,11.1,354,273,120,2459068.592,397,0.907,1.27
2019 WE,(2019 WE),True,False,3893231,,0.461,1.73,0.93,0.436,240,215,158,2458837.382,829,0.434,2.52
2020 YN,(2020 YN),True,False,54100629,,0.488,1.15,0.59,9.58,83.6,257,48.6,2459141.482,452,0.797,1.71
2007 VE8,(2007 VE8),True,False,3392375,,0.586,2.51,1.04,7.22,44,352,2.21,2454403.615,1450,0.248,3.98
2020 HL1,(2020 HL1),True,False,54016586,,0.614,2.45,0.946,1.42,242,19.7,350,2459001.601,1400,0.257,3.95
2021 EJ3,(2021 EJ3),True,False,54131326,,0.0966,0.914,0.826,0.87,14.9,322,102,2459110.472,319,1.13,1
2020 XE,(2020 XE),True,False,54097865,,0.779,2.52,0.555,2.48,248,91.3,12.4,2459141.346,1460,0.247,4.48
2020 YA3,(2020 YA3),True,False,54101716,,0.619,2.34,0.892,1.24,90.6,316,7.67,2459172.594,1310,0.275,3.79
2016 VB1,(2016 VB1),True,False,3763274,,0.319,0.755,0.514,1.22,41.1,176,290,2459247.313,240,1.5,0.996
2019 WU2,(2019 WU2),True,False,3893546,,0.487,1.68,0.863,3.28,223,126,201,2459551.568,796,0.452,2.5
2009 WP6,(2009 WP6),True,False,3477702,,0.741,1.13,0.292,2.78,54.5,228,41.2,2455104.228,439,0.82,1.97
2020 GZ2,(2020 GZ2),True,False,54016528,,0.376,0.807,0.504,2.54,31.2,324,213,2459308.387,265,1.36,1.11
2020 XA6,(2020 XA6),True,False,54100286,,0.631,1.35,0.497,6.76,79.6,253,34.3,2459145.181,570,0.631,2.19
2014 ML67,(2014 ML67),True,False,3674749,,0.719,2.3,0.649,1.84,303,59,346,2456889.463,1280,0.282,3.96
1996 TC1,(1996 TC1),True,False,3092151,,0.719,1.86,0.523,14.5,5.01,259,23,2450304.285,928,0.388,3.2
2010 JH110,(2010 JH110),True,False,3522160,,0.566,2.34,1.01,0.744,72.4,165,345,2459256.524,1300,0.276,3.66
2005 CC37,(2005 CC37),True,False,3267313,,0.562,2.21,0.968,6.14,113,346,302,2459392.579,1200,0.3,3.45
2013 EV27,(2013 EV27),True,False,3631820,,0.569,1.98,0.854,4.25,341,127,16,2456315.088,1020,0.353,3.11
2011 AE3,(2011 AE3),True,False,3555043,,0.156,0.982,0.829,8.6,283,79.9,82.1,2455484.425,355,1.01,1.14
2010 XB73,(2010 XB73),True,False,3554015,,0.354,1.84,1.19,3.8,247,191,358,2455551.277,909,0.396,2.49
2011 MX,(2011 MX),True,False,3568321,,0.398,1.43,0.862,13.5,268,297,30,2455684.433,625,0.576,2
2018 XQ2,(2018 XQ2),True,False,3836857,,0.178,0.857,0.705,0.0768,112,148,13.5,2459189.619,290,1.24,1.01
2020 JS1,(2020 JS1),True,False,54017013,,0.328,1.53,1.03,0.324,100,176,338,2459025.551,692,0.52,2.03
2020 US7,(2020 US7),True,False,54087862,,0.189,1.08,0.874,7.28,26.3,257,87.1,2459047.608,409,0.881,1.28
2006 CM10,(2006 CM10),True,True,3321628,,0.701,2.13,0.638,18.3,143,92.1,341,2453837.385,1140,0.316,3.63
2010 VQ,(2010 VQ),True,False,3550139,,0.198,0.86,0.69,0.356,28.9,198,48.3,2459161.364,292,1.23,1.03
2006 JE,(2006 JE),True,False,3331600,,0.757,1.78,0.433,15,43.4,286,340,2453904.747,870,0.414,3.13
2014 MA68,(2014 MA68),True,False,3675093,,0.348,1.53,0.994,1.44,57.9,180,18.6,2456800.888,688,0.523,2.06
2004 VM24,(2004 VM24),True,False,3261919,,0.43,1.14,0.65,2.92,231,277,35,2459157.266,445,0.81,1.63
2011 CW46,(2011 CW46),True,False,3557484,,0.156,1.05,0.885,30.4,322,77.2,84.6,2455512.266,393,0.917,1.21
2012 SY49,(2012 SY49),True,False,3609164,,0.557,1.53,0.676,1.19,5.92,84.4,100,2459008.572,689,0.522,2.38
2000 LG6,(2000 LG6),True,False,3042555,,0.111,0.917,0.816,2.83,72.5,8.17,311,2459244.104,321,1.12,1.02
2020 XV6,(2020 XV6),True,False,54100582,,0.909,2.04,0.185,5.78,82.9,222,13.4,2459160.786,1070,0.338,3.9
2010 VW194,(2010 VW194),True,False,3552162,,0.466,1.82,0.973,2.02,50.9,340,43.4,2459092.241,899,0.401,2.67
2019 JO1,(2019 JO1),True,False,3841712,,0.586,1.21,0.499,5.08,218,248,48.9,2458545.881,483,0.745,1.91
2006 CD,(2006 CD),True,False,3315645,,0.457,2.01,1.09,9.09,105,303,24.8,2453696.764,1040,0.345,2.93
2017 QC36,(2017 QC36),True,True,3781359,,0.356,0.781,0.503,30,141,353,219,2458083.549,252,1.43,1.06
2020 KN2,(2020 KN2),True,False,54017158,,0.452,1.78,0.976,0.497,83,201,71.1,2459029.194,868,0.415,2.58
2017 GG8,(2017 GG8),True,False,3774039,,0.534,1.88,0.876,5.53,191,309,174,2458746.201,941,0.383,2.88
2020 VB5,(2020 VB5),True,False,54087834,,0.601,1.67,0.666,4.33,56,81.7,337,2459218.592,787,0.457,2.67
2007 CC27,(2007 CC27),True,False,3368186,,0.493,1.69,0.856,2.12,324,125,19.8,2454104.445,801,0.449,2.52
1994 GV,(1994 GV),True,False,3092125,,0.522,2.01,0.961,0.448,20.1,154,148,2458770.972,1040,0.345,3.06
2009 TH8,(2009 TH8),True,False,3471517,,0.591,2.05,0.836,4.91,30.8,50.2,282,2459432.857,1070,0.337,3.26
2020 BW5,(2020 BW5),True,False,3989139,,0.345,1.33,0.872,0.526,276,282,171,2458934.189,560,0.643,1.79
2004 PU42,(2004 PU42),True,False,3249348,,0.444,1.57,0.876,0.991,147,233,75.5,2459049.155,722,0.499,2.27
2007 DS7,(2007 DS7),True,False,3368602,,0.4,1.18,0.708,8.45,149,271,48.7,2454091.120,468,0.769,1.65
2009 FZ4,(2009 FZ4),True,False,3454736,,0.409,1.3,0.768,3.39,357,276,311,2454982.618,540,0.667,1.83
2010 JL88,(2010 JL88),True,False,3522159,,0.504,1.43,0.707,0.0945,268,52.1,53.7,2459107.790,621,0.579,2.14
2010 UJ,(2010 UJ),True,False,3549639,,0.0957,0.943,0.853,0.367,133,73.7,179,2455321.230,335,1.08,1.03
2016 NL39,(2016 NL39),True,False,3755678,,0.247,1.34,1.01,0.79,282,342,322,2459261.070,568,0.634,1.67
2020 VN1,(2020 VN1),True,False,54087576,,0.0641,0.98,0.917,3.49,44.8,256,137,2459065.890,354,1.02,1.04
1999 RZ31,(1999 RZ31),True,False,3022933,,0.601,2.58,1.03,2.97,163,180,1.42,2451427.516,1520,0.237,4.14
2013 BL18,(2013 BL18),True,False,3624748,,0.592,1.99,0.813,7.52,295,121,16.1,2456267.477,1030,0.35,3.17
2014 UD57,(2014 UD57),True,False,3694462,,0.35,1.37,0.888,0.655,214,120,334,2459242.340,583,0.617,1.84
2008 YO2,(2008 YO2),True,False,3441847,,0.588,1.67,0.686,1.42,92.8,78.1,337,2454873.155,785,0.458,2.65
2010 MZ112,(2010 MZ112),True,False,3536588,,0.733,1.85,0.493,30.4,317,49.1,334,2455438.038,918,0.392,3.2
2020 CO2,(2020 CO2),True,False,3991585,,0.576,1.75,0.742,0.543,304,278,340,2458944.598,844,0.427,2.75
2018 YH2,(2018 YH2),True,False,3837521,,0.283,1.27,0.914,12.8,114,277,37.7,2458415.465,525,0.685,1.63
2001 BA16,(2001 BA16),True,False,3068066,,0.138,0.94,0.811,5.77,115,243,46.5,2459157.541,333,1.08,1.07
2014 JR24,(2014 JR24),True,False,3670633,,0.118,1.07,0.94,0.93,48.9,246,305,2459261.552,402,0.895,1.19
2020 CD3,(2020 CD3),True,False,54000953,,0.0123,1.03,1.02,0.634,82.2,49.7,305,2459259.048,381,0.945,1.04
2017 NT5,(2017 NT5),True,False,3776550,,0.676,1.87,0.605,6.04,294,88.9,104,2458930.707,933,0.386,3.13
2011 AM37,(2011 AM37),True,False,3555208,,0.147,1.1,0.938,2.63,291,129,255,2459323.590,422,0.854,1.26
2017 SA20,(2017 SA20),True,False,3781983,,0.192,1.1,0.889,0.129,35,249,345,2459218.544,421,0.854,1.31
2013 WM,(2013 WM),True,False,3653812,,0.916,2.08,0.175,4.16,239,40.9,14.8,2456579.434,1100,0.328,3.99
2006 BC8,(2006 BC8),True,False,3313733,,0.431,1.23,0.698,6.89,303,91.2,27.9,2459161.980,496,0.725,1.76
2008 ST,(2008 ST),True,False,3427460,,0.126,0.964,0.843,1.91,189,291,225,2459330.394,346,1.04,1.09
2006 QN111,(2006 QN111),True,False,3340060,,0.598,2.49,1,11.7,144,172,4.57,2453959.309,1430,0.251,3.98
2018 CM,(2018 CM),True,False,3799002,,0.533,2,0.937,1.5,139,31.3,354,2459217.308,1040,0.347,3.07
2019 DP,(2019 DP),True,False,3838837,,0.249,1.07,0.806,10.4,336,91.1,287,2459283.358,406,0.887,1.34
2009 FJ,(2009 FJ),True,False,3451793,,0.568,2.21,0.953,0.888,354,151,217,2459676.809,1200,0.301,3.46
2009 BR5,(2009 BR5),True,False,3444439,,0.659,2.03,0.691,3.84,301,277,340,2454914.064,1060,0.341,3.37
2014 HN197,(2014 HN197),True,False,3698512,,0.763,2.8,0.662,3.99,270,171,36.8,2456597.109,1710,0.211,4.93
2008 KO,(2008 KO),True,False,3412706,,0.738,2.15,0.565,14.7,73.3,270,344,2454665.584,1160,0.312,3.74
2011 BG10,(2011 BG10),True,False,3555628,,0.622,2.51,0.95,3.38,125,37.9,353,2455616.919,1450,0.248,4.07
2005 EL70,(2005 EL70),True,False,3273785,,0.934,2.47,0.163,16.8,168,220,10.5,2453396.978,1420,0.253,4.79
2019 XV,(2019 XV),True,False,3893945,,0.0976,1.1,0.993,0.344,46,356,347,2459215.618,422,0.854,1.21
2005 TM173,(2005 TM173),True,False,3303216,,0.675,2.87,0.934,1.28,241,173,354,2453682.976,1780,0.202,4.81
2005 WG57,(2005 WG57),True,False,3305031,,0.492,1.8,0.913,0.427,162,212,107,2458938.757,880,0.409,2.68
2020 BK3,(2020 BK3),True,False,3986841,,0.317,1.16,0.791,9.82,120,280,308,2459266.678,455,0.791,1.53
2021 DR,(2021 DR),True,False,54123261,,0.146,0.9,0.769,1.5,144,220,62.3,2459146.518,312,1.15,1.03
2007 UO6,(2007 UO6),True,False,3389487,,0.6,2.28,0.911,2.4,23.6,320,9.76,2454361.527,1250,0.287,3.64
2010 HV20,(2010 HV20),True,False,3518264,,0.789,2.62,0.553,6.45,99.1,216,348,2455365.361,1550,0.232,4.69
2020 OR4,(2020 OR4),True,False,54049788,,0.775,2.52,0.567,1.05,120,277,347,2459105.221,1470,0.246,4.48
2017 AY20,(2017 AY20),True,False,3766670,,0.377,1.96,1.22,18.7,339,218,306,2457908.350,1000,0.359,2.7
2021 EL3,(2021 EL3),True,False,54131345,,0.254,0.82,0.611,3.81,168,204,32.9,2459175.758,271,1.33,1.03
2009 FG,(2009 FG),True,False,3451791,,0.53,1.97,0.925,0.0344,42.6,82,15.9,2454865.971,1010,0.357,3.01
2018 TP5,(2018 TP5),True,False,3831841,,0.472,1.68,0.888,2.74,11.3,309,21.3,2459153.404,797,0.452,2.48
2015 KG158,(2015 KG158),True,False,3720898,,0.277,1.14,0.823,2.23,54.1,97.5,270,2459311.942,444,0.812,1.45
2018 GE2,(2018 GE2),True,False,3802442,,0.226,1.09,0.84,0.475,42.4,74.9,193,2459392.900,414,0.871,1.33
2002 TY59,(2002 TY59),True,False,3137736,,0.233,1.02,0.781,6.61,9.77,259,327,2459235.276,375,0.959,1.26
2007 EV,(2007 EV),True,False,3370286,,0.308,1.09,0.755,8.17,357,269,329,2459236.185,416,0.865,1.43
2011 BT59,(2011 BT59),True,True,3557636,,0.947,2.47,0.13,3.57,39.3,303,16.2,2455528.532,1420,0.254,4.81
2008 VS4,(2008 VS4),True,False,3437806,,0.546,2.34,1.06,1.6,202,198,1.7,2454771.345,1300,0.276,3.61
2018 PZ21,(2018 PZ21),True,False,3826795,,0.257,0.857,0.637,3.15,309,215,126,2459099.412,290,1.24,1.08
2012 BY1,(2012 BY1),True,False,3595928,,0.674,2.13,0.694,0.476,323,236,345,2455994.402,1140,0.317,3.57
2009 OW6,(2009 OW6),True,False,3465252,,0.482,1.96,1.01,0.118,95.9,230,53.3,2459052.633,999,0.361,2.9
2020 UC,(2020 UC),True,False,54073343,,0.304,1.24,0.865,2.69,29.1,63,4.85,2459193.692,505,0.713,1.62
2019 HS3,(2019 HS3),True,False,3841627,,0.831,2.47,0.417,5.98,217,251,14.5,2458554.596,1420,0.254,4.52
2016 RR1,(2016 RR1),True,False,3758929,,0.399,1.67,1,5.33,341,346,3.41,2459193.063,786,0.458,2.33
2018 JN,(2018 JN),True,False,3819745,,0.541,2.16,0.993,3.62,214,345,303,2459383.840,1160,0.31,3.33
2018 VS6,(2018 VS6),True,False,3836168,,0.367,1.13,0.717,5.5,227,87.4,320,2459249.691,440,0.818,1.55
2015 BW516,(2015 BW516),True,False,3715411,,0.559,2.03,0.897,1.94,311,222,347,2457084.528,1060,0.34,3.17
2020 DK,(2020 DK),True,False,3991613,,0.5,0.689,0.345,2.81,323,13.1,161,2458805.364,209,1.72,1.03
2020 BY4,(2020 BY4),True,False,3989081,,0.699,2.03,0.611,1.73,132,81.9,343,2458921.838,1060,0.341,3.45
2020 HQ4,(2020 HQ4),True,False,54016691,,0.213,1.25,0.983,0.141,252,286,190,2459441.792,510,0.705,1.52
2010 GH7,(2010 GH7),True,False,3515028,,0.3,1.4,0.98,3.54,192,336,173,2458909.263,605,0.595,1.82
2016 DA31,(2016 DA31),True,False,3748229,,0.45,1.27,0.699,0.0223,339,268,321,2457503.707,523,0.688,1.84
2020 WG5,(2020 WG5),True,False,54096096,,0.253,1.24,0.922,1.05,71.3,305,43.9,2459139.401,501,0.718,1.55
2004 GE2,(2004 GE2),True,True,3179354,,0.706,2.04,0.6,2.16,45.1,260,341,2453167.197,1070,0.338,3.48
2005 VN5,(2005 VN5),True,False,3299721,,0.233,0.945,0.725,2.06,48.3,116,68,2459137.067,336,1.07,1.17
2012 DJ54,(2012 DJ54),True,False,3600106,,0.23,1.18,0.905,1.97,337,120,4.99,2459194.045,466,0.773,1.45
2016 BA15,(2016 BA15),True,False,3740931,,0.55,1.54,0.694,1.44,115,96.9,170,2458869.211,700,0.514,2.39
2005 AU3,(2005 AU3),True,False,3265469,,0.472,1.25,0.657,3.76,105,267,44.9,2453318.184,507,0.709,1.83
2011 SM173,(2011 SM173),True,False,3580056,,0.652,2.49,0.868,0.525,176,238,111,2458756.668,1440,0.251,4.12
2016 LP10,(2016 LP10),True,False,3753859,,0.622,2.08,0.787,0.669,79.3,245,345,2457592.941,1100,0.328,3.38
2019 SX,(2019 SX),True,False,3843898,,0.483,1.17,0.604,1.12,179,282,306,2459269.179,461,0.781,1.73
2020 GB1,(2020 GB1),True,False,54016461,,0.178,1.05,0.861,11.5,17.1,266,168,2459018.075,391,0.92,1.23
2020 GA3,(2020 GA3),True,False,54016529,,0.53,1.33,0.628,6.49,33.4,273,322,2459015.593,563,0.639,2.04
2004 ME6,(2004 ME6),True,False,3184476,,0.58,2.39,1.01,9.51,112,210,346,2453233.735,1350,0.266,3.78
2009 FZ10,(2009 FZ10),True,False,3454895,,0.597,2.13,0.859,6.46,178,304,14.7,2454869.085,1140,0.317,3.4
2012 VJ38,(2012 VJ38),True,False,3617339,,0.286,1.36,0.97,0.386,52.5,24.5,25.2,2459159.937,579,0.622,1.75
2019 UH9,(2019 UH9),True,False,3884019,,0.685,1.56,0.491,1.69,179,102,240,2459437.333,712,0.506,2.63
2008 EL68,(2008 EL68),True,False,3405338,,0.0571,1.04,0.979,1.04,357,235,300,2454596.091,387,0.931,1.1
2019 KJ4,(2019 KJ4),True,False,3842657,,0.264,0.821,0.604,0.188,356,59.1,231,2459297.519,272,1.33,1.04
2011 EB,(2011 EB),True,False,3558196,,0.597,2.29,0.924,2.51,160,323,301,2459407.441,1270,0.284,3.66
2020 PO4,(2020 PO4),True,False,54051090,,0.175,1.07,0.88,4.89,318,252,90.9,2458973.911,402,0.895,1.25
2020 PQ2,(2020 PQ2),True,False,54051042,,0.725,2.44,0.672,6.06,154,252,18.9,2459127.484,1390,0.258,4.21
2010 TW149,(2010 TW149),True,False,3549393,,0.617,1.9,0.726,4.58,196,103,20.4,2455430.433,953,0.378,3.07
2020 GO1,(2020 GO1),True,False,54016473,,0.36,1.56,0.995,8.35,192,350,136,2458932.291,709,0.508,2.12
2009 VA,(2009 VA),True,False,3474857,,0.357,1.43,0.918,7.54,225,224,339,2455177.950,623,0.578,1.94
2016 TY55,(2016 TY55),True,False,3760891,,0.153,1.03,0.873,4.21,207,264,283,2459281.911,382,0.941,1.19
