"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2015 EG7)","2065-2115","12","5.7e-6","12.79","27.4","0.011","-6.51","-6.57","0","bK15E07G"
"(2020 MP1)","2105-2105","2","2.2e-6","7.83","26.1","0.021","-6.51","-6.61","0","bK20M01P"
"(2020 WZ3)","2115-2118","2","3.3e-6","6.31","26.2","0.020","-6.51","-6.56","0","bK20W03Z"
"(2008 UA202)","2050-2108","72","8.1e-5","2.30","29.4","0.004","-6.52","-7.33","0","bK08UK2A"
"(2009 WW7)","2050-2116","23","4.5e-5","8.19","28.9","0.006","-6.52","-6.96","0","bK09W07W"
"(2012 EP10)","2056-2117","39","7.7e-5","2.79","29.2","0.005","-6.52","-6.75","0","bK12E10P"
"(2015 QS8)","2116-2116","1","4.2e-6","8.04","26.5","0.017","-6.52","-6.52","0","bK15Q08S"
"(2012 KP24)","2032-2032","1","3.4e-7","12.74","26.4","0.017","-6.52","-6.52","0","bK12K24P"
"(2008 TS10)","2068-2116","21","4.7e-5","3.18","28.8","0.006","-6.53","-7.37","0","bK08T10S"
"(2010 NH)","2089-2092","2","1.0e-6","10.29","25.7","0.025","-6.53","-6.58","0","bK10N00H"
"(2017 QU34)","2083-2111","10","1.2e-5","14.49","28.3","0.007","-6.53","-6.76","0","bK17Q34U"
"(2009 WQ25)","2094-2094","1","9.3e-8","16.94","23.9","0.055","-6.54","-6.54","0","bK09W25Q"
"(2018 LM)","2112-2116","3","1.1e-6","4.88","25.2","0.030","-6.54","-6.82","0","bK18L00M"
"(2018 JL1)","2112-2118","4","5.4e-6","6.17","26.7","0.015","-6.54","-6.72","0","bK18J01L"
"(2017 RN16)","2076-2117","30","5.4e-5","8.13","29.1","0.005","-6.55","-6.69","0","bK17R16N"
"(2007 SN6)","2022-2059","2","1.1e-7","18.32","25.0","0.033","-6.56","-6.69","0","bK07S06N"
"(2010 TN55)","2086-2117","15","1.8e-6","25.32","27.0","0.013","-6.57","-7.28","0","bK10T55N"
"(2005 GQ33)","2023-2110","24","2.8e-8","20.92","23.7","0.063","-6.58","-7.36","0","bK05G33Q"
"(2009 YR)","2060-2087","8","1.1e-5","3.12","28.0","0.009","-6.58","-6.90","0","bK09Y00R"
"(2020 PU1)","2047-2070","3","1.5e-6","7.77","26.5","0.017","-6.58","-6.94","0","bK20P01U"
"(2017 TB)","2054-2117","54","5.1e-5","5.79","29.1","0.005","-6.59","-7.21","0","bK17T00B"
"(2020 UQ3)","2112-2112","1","1.6e-7","8.41","23.8","0.059","-6.59","-6.59","0","bK20U03Q"
"(2020 OB)","2114-2119","3","4.6e-8","25.62","23.7","0.063","-6.59","-6.66","0","bK20O00B"
"(2010 XQ)","2021-2116","69","2.1e-7","9.79","25.2","0.031","-6.60","-7.29","0","bK10X00Q"
"(2017 UA45)","2099-2112","5","2.0e-6","5.42","25.9","0.022","-6.60","-6.72","0","bK17U45A"
"(2019 BO)","2055-2095","19","1.2e-5","7.27","28.1","0.008","-6.60","-7.20","0","bK19B00O"
"(1997 UA11)","2073-2073","1","2.9e-7","11.96","25.1","0.032","-6.61","-6.61","0","bJ97U11A"
"(2003 UQ25)","2093-2093","1","9.4e-8","18.01","24.2","0.049","-6.61","-6.61","0","bK03U25Q"
"(2015 CL13)","2090-2106","4","6.5e-7","13.70","25.7","0.025","-6.61","-6.99","0","bK15C13L"
"(2021 AH)","2043-2101","5","3.0e-6","21.45","28.5","0.007","-6.61","-6.63","0","bK21A00H"
"(2011 AZ36)","2026-2116","176","4.1e-7","7.61","25.1","0.032","-6.63","-8.01","0","bK11A36Z"
"(2020 UX)","2046-2114","35","2.0e-4","8.44","31.1","0.002","-6.63","-6.84","0","bK20U00X"
